Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
82,1552801672,23.48.205.172,2348205172,135,1093,1632,16384,8192,Sun,Mar,1,47,51,76,0,0,20,56065726,24207909,16395152,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
83,1552801672,23.48.205.172,2348205172,168,1093,1631,16384,8192,Sun,Mar,1,47,51,76,0,0,21,56065764,24207936,16395190,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
84,1552801672,10.0.2.15,100215,443,40,21122,16384,8192,Sun,Mar,1,47,51,76,0,0,20,56065803,24207967,16395243,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
85,1552801672,23.48.205.172,2348205172,80,1394,1329,16384,8192,Sun,Mar,1,47,52,76,0,0,20,56065831,24208003,16395293,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
86,1552801672,23.48.205.172,2348205172,87,792,1930,16384,8192,Sun,Mar,1,47,52,76,0,0,20,56065857,24208026,16395329,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
87,1552801673,10.0.2.15,100215,443,40,21121,16384,8192,Sun,Mar,1,47,52,76,0,0,20,56065898,24208073,16395386,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
88,1552801673,23.48.205.172,2348205172,200,1394,1327,16384,8192,Sun,Mar,1,47,52,76,0,0,20,56065927,24208096,16395424,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,4.8,64,Web_Attack
89,1552801673,23.48.205.172,2348205172,166,1394,1326,16384,8192,Sun,Mar,1,47,52,76,0,0,20,56065976,24208133,16395486,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
90,1552801673,10.0.2.15,100215,443,40,21120,16384,8192,Sun,Mar,1,47,53,76,0,0,20,56066016,24208166,16395530,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
91,1552801673,23.48.205.172,2348205172,142,1394,1325,16384,8192,Sun,Mar,1,47,53,76,0,0,20,56066048,24208196,16395583,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
92,1552801674,23.48.205.172,2348205172,133,1394,1324,16384,8192,Sun,Mar,1,47,53,76,0,0,20,56066079,24208232,16395626,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
93,1552801674,10.0.2.15,100215,443,40,21119,16384,8192,Sun,Mar,1,47,53,76,0,0,20,56066111,24208256,16395662,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
94,1552801674,23.48.205.172,2348205172,144,1394,1315,16384,8192,Sun,Mar,1,47,53,76,0,0,20,56066154,24208290,16395718,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
95,1552801674,52.26.103.165,5226103165,157,1328,20036,16384,8192,Sun,Mar,1,47,54,76,0,0,20,56066180,24208314,16395758,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
96,1552801674,10.0.2.15,100215,443,77,18224,16384,8192,Sun,Mar,1,47,54,76,0,0,20,56066214,24208355,16395811,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
97,1552801675,10.0.2.15,100215,443,77,18223,16384,8192,Sun,Mar,1,47,54,76,0,0,20,56066245,24208387,16395863,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
98,1552801675,10.0.2.15,100215,443,74,18225,16384,8192,Sun,Mar,1,47,54,76,0,0,20,56066280,24208416,16395904,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
99,1552801675,10.0.2.15,100215,443,74,18224,16384,8192,Sun,Mar,1,47,54,76,0,1,19,56066327,24208452,16395962,0,46.4,31.8,153268,447756,2852229120,13695434752,120524,1224668,575268,1068260,420158052,1065079946,0,64,Web_Attack
